h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,4,0.00027226910617885873,2.6685095096589753,3.0051551125536267
0.2,1,4,0.0002784875943593304,2.7294569123158015,2.9193143738587723
0.4,2,4,0.00024173403869829014,2.369235313281918,2.950799349248649
0.6000000000000001,3,4,0.00018827350489022265,1.8452686214290634,3.0643431537131924
0.8,4,4,0.00014685563830046038,1.4393321109827988,3.2743267523433954
1.0,5,4,0.00014430616852394477,1.4143447577031907,3.506213095103807
1.2000000000000002,6,4,0.0001737947163392973,1.703362014841443,3.6855235623103257
1.4000000000000001,7,4,0.00021339367989732673,2.091471456673692,3.8015643287260446
1.6,8,4,0.0002498939304503146,2.4492104123435285,3.8731277922044423
1.8,9,4,0.00027952641187975046,2.739638362833429,3.9180005525905974
2.0,10,4,0.0003025808015598027,2.9655944360876254,3.9472687821096133
2.2,11,4,0.0003203675628755427,3.1399224837431836,3.9671979800668167
2.4000000000000004,12,4,0.00033417036199835757,3.2752037179458857,3.9813161292780204
2.6,13,4,0.00034500462538925383,3.3813903334400566,3.9916672808826945
2.8000000000000003,14,4,0.00035362190494616134,3.4658482903773242,3.9994816103167237
3.0,15,4,0.000360567634979665,3.5339233904356915,4.005528695549367
3.2,16,4,0.00036623738363342266,3.5894925969911875,4.010307693024865
3.4000000000000004,17,4,0.00037092021496872284,3.635389026908439,4.014153088533975
3.6,18,4,0.000374829737343292,3.6737062557016062,4.017295611259234
3.8000000000000003,19,4,0.0003781257878001216,3.706010846228967,4.019898550583947
4.0,20,4,0.00038092950237557377,3.7334900527829937,4.022080117180896
